unit_id	clmn	emotion	polarity	bullying
652910876	1	anger	negative	bullying
652910876	2	anger	negative	bullying
652910876	3	joy	positive	noneBll
652910876	4	anger	negative	noneBll
652910876	5	anger	negative	bullying
652910876	6	no_emotion	negative	noneBll
652910876	7	anger	negative	bullying
652910876	8	anger	negative	noneBll
652910876	9	anger	negative	noneBll
652910876	10	anger	negative	bullying
652910876	11	anger	negative	noneBll
652910876	12	anger	negative	noneBll
652910876	13	anger	negative	noneBll
652910876	14	anger	negative	bullying
652910876	15	anger	negative	bullying
652910876	16	anger	negative	noneBll
652910876	17	no_emotion	neutral	noneBll
652910876	18	anger	negative	noneBll
652910876	19	no_emotion	neutral	noneBll
652910876	20	other	neutral	noneBll
652910876	21	no_emotion	neutral	noneBll
652910876	22	other	neutral	noneBll
652910876	23	other	neutral	noneBll
652910876	24	anger	negative	bullying
652910876	25	other	negative	noneBll
652910876	26	anger	negative	bullying
652910876	27	anger	negative	noneBll
652910876	28	other	negative	noneBll
652910876	29	anger	negative	bullying
652910876	30	anger	negative	bullying
652910876	31	no_emotion	neutral	noneBll
652910876	32	anger	negative	bullying
652910876	33	other	negative	noneBll
652910876	34	other	neutral	noneBll
652910876	35	other	negative	noneBll
652910876	36	anger	negative	bullying
652910876	37	other	negative	noneBll
652910876	38	anger	negative	noneBll
652910876	39	anger	negative	noneBll
652910876	40	no_emotion	neutral	noneBll
652910876	41	anger	negative	noneBll
652910876	42	other	neutral	noneBll
652910876	43	no_emotion	negative	noneBll
652910876	44	anger	negative	bullying
652910876	45	other	neutral	noneBll
652910876	46	anger	negative	bullying
652910876	47	anger	negative	bullying
652910876	48	anger	negative	bullying
652910876	49	anger	negative	bullying
652910876	50	anger	negative	noneBll
652910876	51	joy	positive	noneBll
652910876	52	anger	negative	bullying
652910876	53	sadness	positive	noneBll
652910876	54	anger	negative	bullying
652910876	55	anger	negative	noneBll
652910876	56	anger	negative	noneBll
652910876	57	anger	negative	bullying
652910876	58	no_emotion	neutral	noneBll
652910876	59	anger	negative	bullying
652910876	60	anger	negative	bullying
652910876	61	other	neutral	noneBll
652910876	62	no_emotion	neutral	noneBll
652910876	63	other	negative	noneBll
652910876	64	anger	negative	bullying
652910876	65	joy	positive	noneBll
652910876	66	no_emotion	neutral	noneBll
652910876	67	no_emotion	neutral	noneBll
652910876	68	anger	negative	bullying
652910876	69	anger	negative	bullying
652910876	70	other	neutral	noneBll
652910876	71	other	positive	noneBll
652910876	72	other	negative	noneBll
652910876	73	anger	negative	bullying
652910876	74	anger	negative	noneBll
652910876	75	no_emotion	neutral	noneBll
652910876	76	anger	negative	noneBll
652910876	77	anger	negative	noneBll
652910876	78	anger	negative	bullying
652910876	79	anger	negative	noneBll
652910876	80	anger	negative	bullying
652910876	81	anger	negative	bullying
652910876	82	other	neutral	noneBll
652910876	83	anger	negative	noneBll
652910876	84	anger	negative	bullying
652910876	85	anger	negative	bullying
652910876	86	anger	negative	bullying
652910876	87	anger	negative	bullying
652910876	88	joy	positive	noneBll
652910876	89	anger	negative	bullying
652910876	90	anger	negative	noneBll
652910876	91	other	neutral	noneBll
652910876	92	anger	negative	noneBll
652910876	93	other	negative	noneBll
652910876	94	anger	negative	noneBll
652910876	95	no_emotion	neutral	noneBll
652910876	96	other	neutral	noneBll
652910876	97	other	neutral	noneBll
652910876	98	other	neutral	noneBll
652910876	99	anger	negative	noneBll
652910876	100	anger	negative	noneBll
652910876	101	no_emotion	neutral	noneBll
652910876	102	anger	negative	noneBll
652910876	103	other	positive	noneBll
652910876	104	other	neutral	noneBll
652910876	105	no_emotion	neutral	noneBll
652910876	106	no_emotion	neutral	noneBll
652910876	107	anger	negative	noneBll
652910876	108	other	positive	noneBll
652910876	109	joy	positive	noneBll
652910876	110	other	negative	noneBll
652910876	111	other	neutral	noneBll
652910876	112	no_emotion	neutral	noneBll
652910876	113	other	negative	noneBll
652910876	114	no_emotion	neutral	noneBll
652910876	115	no_emotion	neutral	noneBll
652910876	116	other	neutral	noneBll
652910876	117	other	neutral	noneBll
652910876	118	other	neutral	noneBll
652910876	119	other	negative	noneBll
652910876	120	other	negative	noneBll
652910876	121	other	neutral	noneBll
652910876	122	no_emotion	neutral	noneBll
652910876	123	no_emotion	neutral	noneBll
652910876	124	anger	negative	noneBll
652910876	125	anger	negative	noneBll
652910876	126	no_emotion	neutral	noneBll
652910876	127	other	negative	noneBll
652910876	128	anger	negative	bullying
652910876	129	anger	negative	noneBll
652910876	130	other	neutral	noneBll
652910876	131	no_emotion	neutral	noneBll
652910876	132	no_emotion	neutral	noneBll
652910876	133	other	neutral	noneBll
652910876	134	no_emotion	neutral	noneBll
652910876	135	other	neutral	noneBll
652910876	136	anger	negative	bullying
652910876	137	no_emotion	neutral	noneBll
652910876	138	other	neutral	noneBll
652910876	139	anger	negative	bullying
652910876	140	other	neutral	noneBll
652910876	141	no_emotion	neutral	noneBll
652910876	142	no_emotion	negative	noneBll
652910876	143	other	negative	noneBll
652910876	144	other	neutral	noneBll
652910876	145	no_emotion	neutral	noneBll
652910876	146	no_emotion	neutral	noneBll
652910876	147	no_emotion	neutral	noneBll
652910876	148	no_emotion	neutral	noneBll
652910876	149	no_emotion	neutral	noneBll
652910876	150	anger	negative	noneBll
702714449	1	no_emotion	neutral	noneBll
702714449	2	no_emotion	neutral	noneBll
702714449	3	no_emotion	neutral	noneBll
702714449	4	no_emotion	neutral	noneBll
702714449	5	no_emotion	neutral	noneBll
702714449	6	no_emotion	neutral	noneBll
702714449	7	no_emotion	neutral	noneBll
702714449	8	no_emotion	neutral	noneBll
702714449	9	other	neutral	noneBll
702714449	10	no_emotion	neutral	noneBll
702714449	11	other	neutral	noneBll
702714449	12	no_emotion	neutral	noneBll
702714449	13	no_emotion	neutral	noneBll
702714449	14	no_emotion	neutral	noneBll
702714449	15	no_emotion	positive	noneBll
702714449	16	no_emotion	neutral	noneBll
702714449	17	no_emotion	neutral	noneBll
702714449	18	anger	negative	noneBll
702714449	19	sadness	negative	noneBll
702714449	20	no_emotion	neutral	noneBll
702714449	21	no_emotion	neutral	noneBll
702714449	22	no_emotion	neutral	noneBll
702714449	23	no_emotion	neutral	noneBll
702714449	24	no_emotion	neutral	noneBll
702714449	25	no_emotion	neutral	noneBll
702714449	26	no_emotion	neutral	noneBll
702714449	27	no_emotion	neutral	noneBll
702714449	28	no_emotion	neutral	noneBll
702714449	29	joy	positive	noneBll
702714449	30	no_emotion	neutral	noneBll
702714449	31	joy	positive	noneBll
702714449	32	joy	positive	noneBll
702714449	33	no_emotion	neutral	noneBll
702714450	1	no_emotion	neutral	noneBll
702714450	2	no_emotion	neutral	noneBll
702714450	3	joy	neutral	noneBll
702714450	4	joy	positive	noneBll
702714450	5	joy	positive	noneBll
702714450	6	other	neutral	noneBll
702714450	7	other	neutral	noneBll
702714450	8	joy	positive	noneBll
702714450	9	joy	positive	noneBll
702714450	10	joy	positive	noneBll
702714450	11	joy	positive	noneBll
702714450	12	joy	positive	noneBll
702714450	13	no_emotion	neutral	noneBll
702714450	14	other	neutral	noneBll
702714450	15	no_emotion	neutral	noneBll
702714450	16	joy	positive	noneBll
702714450	17	other	neutral	noneBll
702714450	18	joy	positive	noneBll
702714450	19	no_emotion	neutral	noneBll
702714450	20	no_emotion	neutral	noneBll
702714450	21	joy	positive	noneBll
702714450	22	joy	positive	noneBll
702714450	23	no_emotion	neutral	noneBll
702714450	24	no_emotion	neutral	noneBll
702714450	25	no_emotion	neutral	noneBll
702714450	26	no_emotion	neutral	noneBll
702714450	27	joy	positive	noneBll
702714450	28	joy	positive	noneBll
702714450	29	joy	positive	noneBll
702714450	30	joy	positive	noneBll
702714450	31	joy	positive	noneBll
702714450	32	no_emotion	neutral	noneBll
702714450	33	joy	positive	noneBll
702714450	34	no_emotion	neutral	noneBll
702714450	35	joy	positive	noneBll
702714450	36	joy	positive	noneBll
702714450	37	no_emotion	neutral	noneBll
702714450	38	no_emotion	neutral	noneBll
702714450	39	joy	positive	noneBll
702714450	40	joy	positive	noneBll
702714450	41	no_emotion	neutral	noneBll
702714450	42	other	neutral	noneBll
702714450	43	no_emotion	neutral	noneBll
702714450	44	joy	positive	noneBll
702714450	45	joy	positive	noneBll
702714450	46	no_emotion	neutral	noneBll
702714450	47	joy	positive	noneBll
702714450	48	no_emotion	neutral	noneBll
702714450	49	joy	positive	noneBll
702714450	50	no_emotion	neutral	noneBll
702714450	51	other	neutral	noneBll
702714450	52	no_emotion	neutral	noneBll
702714450	53	no_emotion	neutral	noneBll
702714450	54	no_emotion	neutral	noneBll
702714450	55	joy	positive	noneBll
702714450	56	joy	positive	noneBll
702714450	57	joy	positive	noneBll
702714450	58	joy	positive	noneBll
702714450	59	joy	positive	noneBll
702714450	60	joy	positive	noneBll
702714450	61	joy	positive	noneBll
702714450	62	joy	positive	noneBll
702714450	63	joy	positive	noneBll
702714450	64	no_emotion	neutral	noneBll
702714450	65	joy	positive	noneBll
702714450	66	joy	positive	noneBll
702714450	67	joy	positive	noneBll
702714450	68	no_emotion	neutral	noneBll
702714450	69	no_emotion	neutral	noneBll
702714450	70	no_emotion	positive	noneBll
702714450	71	no_emotion	neutral	noneBll
702714450	72	no_emotion	neutral	noneBll
702714450	73	sadness	negative	noneBll
702714450	74	joy	positive	noneBll
702714450	75	joy	positive	noneBll
702714450	76	joy	positive	noneBll
702714450	77	joy	positive	noneBll
702714450	78	joy	positive	noneBll
702714450	79	no_emotion	neutral	noneBll
702714450	80	no_emotion	neutral	noneBll
702714450	81	no_emotion	neutral	noneBll
702714450	82	no_emotion	neutral	noneBll
